title,dataid,uploaderid,original-image,artist-tags,copyright-tags,character-tags,general-tags,meta-tags,datascore,source-link
bonbori and hoozuki (otome youkai zakuro) drawn by mashiro_(bee0hatimitu),788335,131377,https://cdn.donmai.us/original/fc/3b/fc3b9050e778773a5b2b466c8e407652.png,,,,,,1,https://www.pixiv.net/artworks/13821759
bonbori and hoozuki (otome youkai zakuro) drawn by miri_(cherryjelly),787307,131377,https://cdn.donmai.us/original/59/4c/594c2341eab813330a2becdff3d255dc.jpg,,,,,,0,https://www.pixiv.net/artworks/14367848
zakuro (otome youkai zakuro) drawn by satonari,787306,131377,https://cdn.donmai.us/original/1a/2a/1a2a06c9574b6b20d343e5a735cb7343.jpg,,,,,,2,https://www.pixiv.net/artworks/14359551
"zakuro, susukihotaru, bonbori, hoozuki, mamezou, and 2 more (otome youkai zakuro) drawn by shii_(shii158)",787303,131377,https://cdn.donmai.us/original/bb/5b/bb5befac8249de8fae8a741245c8576e.jpg,,,,,,1,https://www.pixiv.net/artworks/14484939
susukihotaru (otome youkai zakuro) drawn by gojou_kurota,785790,110107,https://cdn.donmai.us/original/5b/d0/5bd0676d1daabf1eccf0cd83273745cd.jpg,,,,,,3,https://www.pixiv.net/artworks/14461296
susukihotaru and yoshinokazura riken (otome youkai zakuro) drawn by niko_(tama),785385,102191,https://cdn.donmai.us/original/c4/f8/c4f833a299ff248e5b0a7cff6c9462da.png,,,,,,35,https://www.pixiv.net/artworks/14446334
"zakuro, susukihotaru, bonbori, hoozuki, and kushimatsu (otome youkai zakuro) drawn by kotokoto_(vibgyor)",783572,131377,https://cdn.donmai.us/original/58/40/5840d8646a66289d39613f076912c5ac.jpg,,,,,,3,https://www.pixiv.net/artworks/14372563
zakuro and agemaki kei (otome youkai zakuro) drawn by owarine_miku,783564,131377,https://cdn.donmai.us/original/67/26/6726753719ae25cf55ac4ad3f4ce7c0e.jpg,,,,,,1,https://www.pixiv.net/artworks/14270379
susukihotaru and yoshinokazura riken (otome youkai zakuro) drawn by sugala,783559,131377,https://cdn.donmai.us/original/e4/f3/e4f3c0ab9ec315ba698635c711abeb59.jpg,,,,,,0,https://www.pixiv.net/artworks/14314611
susukihotaru (otome youkai zakuro) drawn by mashiro_(bee0hatimitu),783557,131377,https://cdn.donmai.us/original/03/e8/03e8c10116a045f27dc034bff799904c.png,,,,,,2,https://www.pixiv.net/artworks/14316295
susukihotaru and yoshinokazura riken (otome youkai zakuro) drawn by xylit01,783556,131377,https://cdn.donmai.us/original/59/2a/592aa543017bad2eb58c6603b01028b0.jpg,,,,,,1,https://www.pixiv.net/artworks/14330954
zakuro (otome youkai zakuro) drawn by katari,781752,79844,https://cdn.donmai.us/original/70/ee/70ee44e2310130a8f91d69c7e4b19843.jpg,,,,,,4,https://www.pixiv.net/artworks/14310651
"panty, ikamusume, arashiyama hotori, agemaki wako, and zakuro (panty & stocking with garterbelt and 4 more) drawn by sey",781077,10084,https://cdn.donmai.us/original/2f/96/2f965cc9672893c68499be24c9f501bd.jpg,,,,,,14,https://www.pixiv.net/artworks/13797324
susukihotaru (otome youkai zakuro) drawn by mashiro_(bee0hatimitu),780436,131377,https://cdn.donmai.us/original/ac/fe/acfe4ec3af443d6946e862b9c1549343.png,,,,,,5,https://www.pixiv.net/artworks/14205161
zakuro and susukihotaru (megami magazine and 1 more) drawn by nishikawa_ena,779685,59648,https://cdn.donmai.us/original/69/0f/690f34e790581d60160c7ef158651ca7.jpg,,,,,,10,Image board.
susukihotaru and yoshinokazura riken (otome youkai zakuro) drawn by hassaku_(kuramatengu),779095,131377,https://cdn.donmai.us/original/78/93/789357da0b5b3f54b2f33712ec36a763.jpg,,,,,,2,https://www.pixiv.net/artworks/14158230
zakuro and agemaki kei (otome youkai zakuro) drawn by kama_(satoyan),779090,131377,https://cdn.donmai.us/original/97/85/97856e525e284f0a2ecea3e2a1be1860.jpg,,,,,,1,https://www.pixiv.net/artworks/13978203
zakuro (otome youkai zakuro) drawn by buffy,779086,131377,https://cdn.donmai.us/original/30/27/3027045931f48b5d29bd86c7d67c2ed0.jpg,,,,,,6,https://www.pixiv.net/artworks/13873763
zakuro (otome youkai zakuro) drawn by kotokoto_(vibgyor),779085,131377,https://cdn.donmai.us/original/8b/26/8b261ce4fc0b54888a1fb58a79280532.jpg,,,,,,2,https://www.pixiv.net/artworks/13940757
"zakuro, susukihotaru, bonbori, hoozuki, agemaki kei, and 2 more (otome youkai zakuro) drawn by iyo_(kirakirahoshi)",779084,131377,https://cdn.donmai.us/original/18/7c/187c7df58e33cb4aa3e21ff4fc904377.jpg,,,,,,1,https://www.pixiv.net/artworks/13956549
zakuro (otome youkai zakuro) drawn by fujiwara_truffe,779082,131377,https://cdn.donmai.us/original/b7/be/b7be102b7533fcdfcee969be15087b34.jpg,,,,,,5,https://www.pixiv.net/artworks/14180204
"zakuro, susukihotaru, bonbori, and hoozuki (otome youkai zakuro) drawn by shishio",769429,115589,https://cdn.donmai.us/original/cb/d1/cbd1a0936f2bac2f82ff72728a9e6cbd.jpg,,,,,,2,https://www.pixiv.net/artworks/13870179
susukihotaru and yoshinokazura riken (otome youkai zakuro) drawn by iyo_(kirakirahoshi),766149,131377,https://cdn.donmai.us/original/e0/0f/e00f006b8eb74a61f52092204223307b.jpg,,,,,,0,https://www.pixiv.net/artworks/13744787
bonbori and hoozuki (otome youkai zakuro) drawn by mutsuki_(snach),759282,1309,https://cdn.donmai.us/original/43/d6/43d65b4e860e8a9b19e255144b0073cc.png,,,,,,3,https://www.pixiv.net/artworks/2058879
"zakuro, susukihotaru, bonbori, and hoozuki (otome youkai zakuro) drawn by mao_(rocca)",759279,1309,https://cdn.donmai.us/original/f6/db/f6db356a03639959d18ece0432a85214.jpg,,,,,,5,https://www.pixiv.net/artworks/12011404
bonbori and hoozuki (otome youkai zakuro) drawn by yugake_(mrnmrm),759276,1309,https://cdn.donmai.us/original/8a/f5/8af52ff85024753c7cbb0766cbbc1276.png,,,,,,2,https://www.pixiv.net/artworks/12611714
